uuid	lineage	susceptibility	genotype
4000b24d-8928-4750-aabb-30d590c57218	239	RSRSRRRRRRRS	MRSA:PVL*
c8a703e2-ecb1-451a-bc55-f300d28b6ff1	757	RSRSRSRRRRRS	MRSA:PVL*
8e3849f0-f518-473d-81b9-5137346ef6ad	239	RSRSRRRRRRRS	MRSA:PVL*
d25d0889-2627-4b05-bc3e-86e942f758f0	239	RSRSRRRRRRRS	MRSA:PVL*
31259ffb-01ff-4145-a7b0-7f890eaa0ed9	757	RSRSRSRRRRRS	MRSA:PVL*
d70e63e5-347a-4b87-8161-a9b1890c0cb7	239	RSRSRSRRRRRS	MRSA:PVL*
b888e50f-29a6-43ad-aa8d-615c3f9e7590	737	SSSSSSSSRRSS	MRSA:PVL-
58f2f3f6-a2a7-4b40-a553-332b5d08a0bd	239	RRRSRSRSRRRS	MRSA:PVL*
f0c230c3-6a96-436e-8671-34f1b4581662	239	RRRSRSRRRRRS	MRSA:PVL*
40ea58ad-7489-40a0-8eca-fe7dba0f7934	239	RRRSRSRSRRRS	MRSA:PVL*
756e17c0-e35a-4343-a426-63b58f96c5a6	239	RRRSRSRSRRRS	MRSA:PVL*
3a21c88a-c3e9-4ced-b1a3-840e4a01738e	239	RRRSRSRSRRRS	MRSA:PVL*
ce39fa69-d9ee-43ac-b75d-83555ced2536	239	RRRSRSRSRRRS	MRSA:PVL*
7d80c8f8-871c-461c-a5f9-8e9b695a37b6	239	RRRSRSRSRRRS	MRSA:PVL*
b529123b-de3e-403b-8c22-919d6df12070	239	RRRSRSRSRRRS	MRSA:PVL*
6ef084e2-fd8a-47dc-8f8f-77f7bcbb0a17	239	RRRSRSRSRRRS	MRSA:PVL*
437efb9c-8549-48c2-bf94-62f2d9bafe5c	239	RRRSRSRSRRRS	MRSA:PVL*
29211cf8-ccc5-4a0e-a3f0-65e250e0e5b4	239	RRRSRSRSRRRS	MRSA:PVL*
c2ad78ad-17f5-4627-8994-8dddbc2ce8e3	239	RRRSRSRRRRRS	MRSA:PVL*
