uuid	lineage	genotype	susceptibility
6e03d0cc-5464-4145-af7b-1ec7b4defe07	2132	KL115-O3b	
3d2480b6-6be8-475f-b42f-4d7d26abbf3e	111	KL113-O1v2	
e1e8cf4b-b634-4268-aa11-5d815193c76e	36	KL62-O2v1	
90c00181-b81a-492d-a882-6fd55731ce66	60	KL5-O1v1	
22244f1f-4b2e-4e7d-8b13-f4fa316f6715	198	KL30-O1v1	
5d366aaf-d501-401e-a809-df26247818a4	111	KL63-O1v2	
daa44399-8323-449b-b145-35aa514b846d	60	KL5-O1v1	
aa1a5e7c-73af-442e-8176-d85c2c4421c9	15	KL24-O1v1	
450b1de6-2c71-4e18-8b91-188c216c4e63	273	KL74-O3b	
88745307-19a8-4175-a0ee-3a8397c12704	530	KL54-O1v2	
3c1a2cc3-849e-453d-807f-b12eeb4ecbf6	587	KL27-O2v2	
311f61a5-e729-41a2-8d7e-31e2b3300562	1948	KL24-O1v1	
d8edb435-182b-4673-ab69-a945b3c6c199	222	KL54-O2v2	
309b7d58-4b6d-44ae-8ee3-97257b0c98e8	1190	KL114-O1v1	
e5b01d4d-4fde-42a1-9f39-2c2978762185	65	KL2-O1v2	
29b74f80-5ee0-4d50-b482-066cd3e08f49	2039	KL2-O1v1	
72ed8c71-4886-4920-9927-ab6c0660a20c	11	KL105-O2v2	
0d138729-e919-479d-ac8f-3fb036d8ac50	11	KL38-O3b	
5b583990-79f3-46c3-bf77-515f0dff4f5d	11	KL105-O2v2	
f2a5493d-0992-4bf7-aaf4-4ec394b0e0ff	15	KL112-O1v1	
09a71ed3-1bf9-45eb-92ca-1fcad1a006db	399	KL107-OL102	
8c70815a-c01b-4c3a-906a-6d4644e38f2b	17	KL107-OL104	
24fb77db-fa0c-4860-8376-feb1c0596865	14	KL2-O1v1	
fe9ea23f-2e2c-47c7-b5e8-732b78cd28a8	1269	KL139-O1v1	
22e71dab-e2c7-4d05-8f31-b8b19f8e4af7	309	KL42-O4	
3c13905c-3302-4429-a2ad-eb2ff0fbd628	395	KL108-O1v2	
6b7cd26f-2c54-48d1-9680-abee231d014e	35	KL22-O1v1	
977a2027-38fa-41ec-b297-bf084e8d45e9	791	KL62-O1v1	
d306aa07-9775-4041-8e49-597de4a7c7fe	23	KL1-O1v2	
3f56da7e-24df-445f-a2a1-b021ae52d578	15	KL112-O1v1	
ccf6e954-7967-4c89-979b-d791000bdc96	133	KL116-O1v1	
23995513-5476-42f1-b1cc-dfce040aafd6	177	KL12-OL103	
932c6807-801b-441a-956e-5c86f828291d	23	KL1-O1v2	
4cc494eb-235b-45d3-acf9-e9f569f3519d	2142	KL7-O2v2	
6377ad23-fa15-4c56-8271-a5059066b5f7	17	KL25-O5	
e12a0ce0-b560-4335-8b4f-9ab948c81a48	2145	KL15-O4	
799e4569-75ec-476f-b207-f83fbffea9f2	48	KL62-O1v1	
fe9995e9-fae0-40f4-9565-33ae9aad261c	15	KL117-O1v1	
42723e79-57d4-4d47-ae62-eba85a064075	442	KL107-O2v2	
46d4d546-eebb-415d-8ef3-681da2b8cd5a	295	KL30-O1v1	
a19594dc-681e-4010-a784-b89930951f27	239	KL71-O3b	
04abe2e7-2321-4548-a150-fcdb56bebf96	298	KL107-O2v2	
3b57f2db-9032-4970-b5e4-703b9c366a25	147	KL64-O2v1	
49a6d541-97f1-4117-9879-f2756b91dc41	43	KL2-O1v1	
189c1d66-4bce-4cc1-88d9-81b053aa9462	43	KL2-O1v1	
b307ec53-883f-42c7-b8a3-18be3d05bf52	225	KL3-O2v2	
6ec9716c-8ab0-4a5a-b302-3f5c8d787066	2113	KL119-O4	
e1ba450a-5db6-4008-8181-ff88ba9bcc2e	42	KL64-O1v1	
bd739cd1-7d93-4f9f-a9f4-a2fb0f464cd7	709	KL9-O1v2	
c6713ec5-945e-4b4a-947b-467a03a63437	194	KL120-O1v2	
85db963c-f816-4e6f-828f-197f6b0fdd66	15	KL19-O1v2	
db843ad4-2cc2-4f53-ac15-dd2a4d66bbeb	584	KL60-O3b	
a23f4a8a-3b46-48ee-b5c1-0fbf43424049	323	KL21-O3b	
2dcd9bc4-cdec-4734-86c6-55edc77265c0	607	KL48-O1v1	
5c7ade59-29b7-467a-80fa-d7111b927bcd	133	KL116-O1v1	
